number,barcode,product_name,store_number,store_name,category1,category2,category3,category4,price1,price2,sale_num,ware_house_inventory,jd_inventory,total_inventory
1302010040109 ,6971555166364 ,ZEESEA滋色·琉璃水光唇釉S728 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,29.5,69.9,0,0,5,5
1302010040110 ,6971555166371 ,ZEESEA滋色·琉璃水光唇釉S729 5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,29.5,69.9,0,171,53,224
1303010060028 ,6971555166418 ,ZEESEA滋色·花漾气垫BB霜W02遮瑕型 15g,100,广东快客电子商务有限公司,TC彩妆,底妆,粉底,气垫,29.36,79.9,0,1,16,17
1303010070034 ,6926309380770 ,FLORTTE花洛莉亚·润泽丝绒散粉 G01# luminary ivory 微珠光透明色  12g,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,定妆,散粉,29.2,69.9,0,5,0,5
1305040020028 ,8809485970776 ,UNNY悠宜·纤细眼线液笔A01 0.6g,100,广东快客电子商务有限公司,TC彩妆,男士彩妆,眼部,眼线液笔,28.4,59.9,0,2,52,54
1305040020029 ,8809485970783 ,UNNY悠宜·纤细眼线液笔A02 0.6g,100,广东快客电子商务有限公司,TC彩妆,男士彩妆,眼部,眼线液笔,28.4,59.9,0,0,44,44
13011100041 ,8806182535451 ,菲诗小铺·大米调理保湿柔肤水150ML,100,广东快客电子商务有限公司,TC护肤,化妆水,功能性化妆水,功能性化妆水,28.31,49.9,0,0,25,25
13011100041 ,8806182535451 ,菲诗小铺·大米调理保湿柔肤水150ML,116,深圳市盟客供应链科技有限公司,TC护肤,化妆水,功能性化妆水,功能性化妆水,28.31,49.9,0,128,0,128
1302010040051 ,8809485973555 ,UNNY悠宜·琉光幻镜唇釉101-锦鲤色4g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,0,8,8
1302010040051 ,8809485973555 ,UNNY悠宜·琉光幻镜唇釉101-锦鲤色4g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,3,69,72
1302010040045 ,8809485973562 ,UNNY悠宜·琉光幻镜唇釉102-金鱼火花4g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,471,52,523
1302010040045 ,8809485973562 ,UNNY悠宜·琉光幻镜唇釉102-金鱼火花4g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,0,6,6
1302010040046 ,8809485973579 ,UNNY悠宜·琉光幻镜唇釉103-糖葫芦4g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69,0,99,50,149
1302010040046 ,8809485973579 ,UNNY悠宜·琉光幻镜唇釉103-糖葫芦4g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69,0,0,58,58
1302010040047 ,8809485973586 ,UNNY悠宜·琉光幻镜唇釉104-人鱼色4g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,53,58,111
1302010040047 ,8809485973586 ,UNNY悠宜·琉光幻镜唇釉104-人鱼色4g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,0,7,7
1302010040049 ,8809485973531 ,UNNY悠宜·琉光幻镜唇釉201-珊瑚水晶4g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,313,58,371
1302010040049 ,8809485973531 ,UNNY悠宜·琉光幻镜唇釉201-珊瑚水晶4g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,2,7,9
1302010040050 ,8809485973548 ,UNNY悠宜·琉光幻镜唇釉202-复古浆果红4g,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,0,24,24
1302010040050 ,8809485973548 ,UNNY悠宜·琉光幻镜唇釉202-复古浆果红4g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28.05,69.9,0,2,76,78
1305050030095 ,6970487431069 ,CAREMILLE珂曼·琉光睛彩三色眼影01蜜桃摩卡 2g,100,广东快客电子商务有限公司,TC彩妆,眼影,多色眼影,2-8色,28,59.9,0,0,8,8
1305050030096 ,6970487431076 ,CAREMILLE珂曼·琉光睛彩三色眼影02情迷勃艮第 2g,100,广东快客电子商务有限公司,TC彩妆,眼影,多色眼影,2-8色,28,59.9,0,0,8,8
1302030010210 ,6954496905407 ,CHIOTURE稚优泉·轻吻柔雾哑光口红M02 3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,28,59.9,0,3,27,30
1302030010219 ,6954496906862 ,CHIOTURE稚优泉·轻吻柔雾哑光口红M11 3.6g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,28,59.9,0,20,7,27
1302030010224 ,6954496907401 ,CHIOTURE稚优泉·轻吻柔雾哑光口红M16 3.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,28,59.9,0,0,19,19
13030200101020 ,6957317629803 ,Front Cover·夜明珠高光膏01 2.8g,116,深圳市盟客供应链科技有限公司,TC彩妆,局部,高光,高光膏,28,79.9,0,0,150,150
1302010040166 ,6971053255928 ,Judydoll橘朵·镜面水光唇釉#205 3ml,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28,49.9,0,0,5,5
1302010040167 ,6971053255973 ,Judydoll橘朵·镜面水光唇釉#210 3ml,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28,49.9,0,0,5,5
1302010040164 ,6971053255997 ,Judydoll橘朵·镜面水光唇釉#212 3ml,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28,49.9,0,0,7,7
1302010040165 ,6971053256390 ,Judydoll橘朵·镜面水光唇釉#216 3ml,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28,49.9,0,0,6,6
1302010040181 ,6971053253368 ,Judydoll橘朵·镜面水光唇釉#220 3ml,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,亮面唇釉,28,49.9,0,0,5,5
1302030010102 ,8858994475166 ,SIVANNA COLORS思薇娜·钻石星空慕斯口红02# 4g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,28,59.9,0,411,319,730
1302030010102 ,8858994475166 ,SIVANNA COLORS思薇娜·钻石星空慕斯口红02# 4g,100,广东快客电子商务有限公司,TC彩妆,唇部,口红,哑光口红,28,59.9,0,0,9,9
1302030010166 ,6971555164988 ,ZEESEA滋色·臻润奢缎唇膏304 3.4g,100,广东快客电子商务有限公司,TC彩妆,唇部,口红,亮面口红,27.68,76.9,0,0,19,19
2205010010001 ,8809301760871 ,Ariul艾藜儿·七天面膜套装20g*7片,116,深圳市盟客供应链科技有限公司,TC面膜,盒装面膜,补水保湿,补水保湿,27.6,49.9,0,0,840,840
1302010040030 ,6971538079278 ,Wet n Wild·持久不脱色丝绒哑光唇釉气场全开P927B6G,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,哑光唇釉,27.6,59.9,0,0,7,7
1302010040027 ,6971538079261 ,Wet n Wild·持久不脱色丝绒哑光唇釉蓝莓之夜P926B6G,100,广东快客电子商务有限公司,TC彩妆,唇部,唇釉,哑光唇釉,27.6,59.9,0,0,7,7
1303010070003 ,6958136632760 ,VOV薇欧薇·丝滑透亮控油散粉 20透明色6G,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,定妆,散粉,27.5,69.9,0,145,0,145
13020500251 ,6947054902963 ,娥佩兰·透气蜜粉3#(紫色)10G,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,定妆,蜜粉,27.5,49.9,0,1,15,16
1302010020001 ,6971113331012 ,Chosungah22潮盛雅22·甜蜜漾彩唇颊膏 苹果红10ml,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,27.3,59.9,0,0,43,43
1303020020053 ,6935778564505 ,CATKIN卡婷·琼姿仙鹤腮红C01醉花荫 10g,100,广东快客电子商务有限公司,TC彩妆,局部,腮红,腮红粉,27.25,69.9,0,4,8,12
1303020020051 ,6935778565151 ,CATKIN卡婷·琼姿仙鹤腮红C03海棠依旧 10g,116,深圳市盟客供应链科技有限公司,TC彩妆,局部,腮红,腮红粉,27.25,69.9,0,45,40,85
